Order2018	POAexemptCode	Description
24399	O09.521	"Supervision of elderly multigravida, first trimester"
24400	O09.522	"Supervision of elderly multigravida, second trimester"
24401	O09.523	"Supervision of elderly multigravida, third trimester"
24402	O09.529	"Supervision of elderly multigravida, unspecified trimester"
24405	O09.611	"Supervision of young primigravida, first trimester"
24406	O09.612	"Supervision of young primigravida, second trimester"
24407	O09.613	"Supervision of young primigravida, third trimester"
24408	O09.619	"Supervision of young primigravida, unspecified trimester"
24410	O09.621	"Supervision of young multigravida, first trimester"
24411	O09.622	"Supervision of young multigravida, second trimester"
24412	O09.623	"Supervision of young multigravida, third trimester"
24413	O09.629	"Supervision of young multigravida, unspecified trimester"
24415	O09.70	"Supervision of high risk pregnancy due to social problems, unspecified trimester"
24416	O09.71	"Supervision of high risk pregnancy due to social problems, first trimester"
24417	O09.72	"Supervision of high risk pregnancy due to social problems, second trimester"
24418	O09.73	"Supervision of high risk pregnancy due to social problems, third trimester"
24421	O09.811	"Supervision of pregnancy resulting from assisted reproductive technology, first trimester"
24422	O09.812	"Supervision of pregnancy resulting from assisted reproductive technology, second trimester"
24423	O09.813	"Supervision of pregnancy resulting from assisted reproductive technology, third trimester"
24424	O09.819	"Supervision of pregnancy resulting from assisted reproductive technology, unspecified trimester"
24426	O09.821	"Supervision of pregnancy with history of in utero procedure during previous pregnancy, first trimester"
24427	O09.822	"Supervision of pregnancy with history of in utero procedure during previous pregnancy, second trimester"
24428	O09.823	"Supervision of pregnancy with history of in utero procedure during previous pregnancy, third trimester"
24429	O09.829	"Supervision of pregnancy with history of in utero procedure during previous pregnancy, unspecified trimester"
24431	O09.891	"Supervision of other high risk pregnancies, first trimester"
24432	O09.892	"Supervision of other high risk pregnancies, second trimester"
24433	O09.893	"Supervision of other high risk pregnancies, third trimester"
24434	O09.899	"Supervision of other high risk pregnancies, unspecified trimester"
24436	O09.90	"Supervision of high risk pregnancy, unspecified, unspecified trimester"
24437	O09.91	"Supervision of high risk pregnancy, unspecified, first trimester"
24438	O09.92	"Supervision of high risk pregnancy, unspecified, second trimester"
24439	O09.93	"Supervision of high risk pregnancy, unspecified, third trimester"
26499	O66.5	Attempted application of vacuum extractor and forceps
26655	O80	Encounter for full-term uncomplicated delivery
26799	O94	"Sequelae of complication of pregnancy, childbirth, and the puerperium"
27044	P00.0	Newborn affected by maternal hypertensive disorders 
27045	P00.1	Newborn affected by maternal renal and urinary tract diseases
27046	P00.2	Newborn affected by maternal infectious and parasitic diseases
27047	P00.3	Newborn affected by other maternal circulatory and respiratory diseases 
27048	P00.4	Newborn affected by maternal nutritional disorders
27049	P00.5	Newborn affected by maternal injury
27050	P00.6	Newborn affected by surgical procedure on mother
27051	P00.7	"Newborn affected by other medical procedures on mother, not elsewhere classified"
27053	P00.81	Newborn affected by periodontal disease in mother
27054	P00.89	Newborn affected by other maternal conditions
27055	P00.9	Newborn affected by unspecified maternal condition
27299	P29.30	Pulmonary hypertension of newborn
27300	P29.38	Other persistent fetal circulation
27479	P78.84	Gestational alloimmune liver disease
27501	P83.81	Umbilical granuloma
27502	P83.88	Other specified conditions of integument specific to newborn
27520	P91.811	Neonatal encephalopathy in diseases classified elsewhere
27521	P91.819	"Neonatal encephalopathy, unspecified"
27522	P91.88	Other specified disturbances of cerebral status of newborn
27559	Q00.0	Anencephaly
27560	Q00.1	Craniorachischisis
27561	Q00.2	Iniencephaly
27563	Q01.0	Frontal encephalocele
27564	Q01.1	Nasofrontal encephalocele
27565	Q01.2	Occipital encephalocele
27566	Q01.8	Encephalocele of other sites
27567	Q01.9	"Encephalocele, unspecified"
27568	Q02	Microcephaly
27570	Q03.0	Malformations of aqueduct of Sylvius
27571	Q03.1	Atresia of foramina of Magendie and Luschka
27572	Q03.8	Other congenital hydrocephalus
27573	Q03.9	"Congenital hydrocephalus, unspecified"
27575	Q04.0	Congenital malformations of corpus callosum
27576	Q04.1	Arhinencephaly
27577	Q04.2	Holoprosencephaly
27578	Q04.3	Other reduction deformities of brain
27579	Q04.4	Septo-optic dysplasia of brain
27580	Q04.5	Megalencephaly
27581	Q04.6	Congenital cerebral cysts
27582	Q04.8	Other specified congenital malformations of brain
27583	Q04.9	"Congenital malformation of brain, unspecified"
27585	Q05.0	Cervical spina bifida with hydrocephalus
27586	Q05.1	Thoracic spina bifida with hydrocephalus
27587	Q05.2	Lumbar spina bifida with hydrocephalus
27588	Q05.3	Sacral spina bifida with hydrocephalus
27589	Q05.4	Unspecified spina bifida with hydrocephalus
27590	Q05.5	Cervical spina bifida without hydrocephalus
27591	Q05.6	Thoracic spina bifida without hydrocephalus
27592	Q05.7	Lumbar spina bifida without hydrocephalus
27593	Q05.8	Sacral spina bifida without hydrocephalus
27594	Q05.9	"Spina bifida, unspecified"
27596	Q06.0	Amyelia
27597	Q06.1	Hypoplasia and dysplasia of spinal cord
27598	Q06.2	Diastematomyelia
27599	Q06.3	Other congenital cauda equina malformations
27600	Q06.4	Hydromyelia
27601	Q06.8	Other specified congenital malformations of spinal cord
27602	Q06.9	"Congenital malformation of spinal cord, unspecified"
27605	Q07.00	Arnold-Chiari syndrome without spina bifida or hydrocephalus
27606	Q07.01	Arnold-Chiari syndrome with spina bifida
27607	Q07.02	Arnold-Chiari syndrome with hydrocephalus
27608	Q07.03	Arnold-Chiari syndrome with spina bifida and hydrocephalus
27609	Q07.8	Other specified congenital malformations of nervous system
27610	Q07.9	"Congenital malformation of nervous system, unspecified"
27612	Q10.0	Congenital ptosis
27613	Q10.1	Congenital ectropion
27614	Q10.2	Congenital entropion
27615	Q10.3	Other congenital malformations of eyelid
27616	Q10.4	Absence and agenesis of lacrimal apparatus
27617	Q10.5	Congenital stenosis and stricture of lacrimal duct
27618	Q10.6	Other congenital malformations of lacrimal apparatus
27619	Q10.7	Congenital malformation of orbit
27621	Q11.0	Cystic eyeball
27622	Q11.1	Other anophthalmos
27623	Q11.2	Microphthalmos
27624	Q11.3	Macrophthalmos
27626	Q12.0	Congenital cataract
27627	Q12.1	Congenital displaced lens
27628	Q12.2	Coloboma of lens
27629	Q12.3	Congenital aphakia
27630	Q12.4	Spherophakia
27631	Q12.8	Other congenital lens malformations
27632	Q12.9	"Congenital lens malformation, unspecified"
27634	Q13.0	Coloboma of iris
27635	Q13.1	Absence of iris
27636	Q13.2	Other congenital malformations of iris
27637	Q13.3	Congenital corneal opacity
27638	Q13.4	Other congenital corneal malformations
27639	Q13.5	Blue sclera
27641	Q13.81	Rieger's anomaly
27642	Q13.89	Other congenital malformations of anterior segment of eye
27643	Q13.9	"Congenital malformation of anterior segment of eye, unspecified"
27645	Q14.0	Congenital malformation of vitreous humor
27646	Q14.1	Congenital malformation of retina
27647	Q14.2	Congenital malformation of optic disc
27648	Q14.3	Congenital malformation of choroid
27649	Q14.8	Other congenital malformations of posterior segment of eye
27650	Q14.9	"Congenital malformation of posterior segment of eye, unspecified"
27652	Q15.0	Congenital glaucoma
27653	Q15.8	Other specified congenital malformations of eye
27654	Q15.9	"Congenital malformation of eye, unspecified"
27656	Q16.0	Congenital absence of (ear) auricle
27657	Q16.1	"Congenital absence, atresia and stricture of auditory canal (external)"
27658	Q16.2	Absence of eustachian tube
27659	Q16.3	Congenital malformation of ear ossicles
27660	Q16.4	Other congenital malformations of middle ear
27661	Q16.5	Congenital malformation of inner ear
27662	Q16.9	"Congenital malformation of ear causing impairment of hearing, unspecified"
27664	Q17.0	Accessory auricle
27665	Q17.1	Macrotia
27666	Q17.2	Microtia
27667	Q17.3	Other misshapen ear
27668	Q17.4	Misplaced ear
27669	Q17.5	Prominent ear
27670	Q17.8	Other specified congenital malformations of ear
27671	Q17.9	"Congenital malformation of ear, unspecified"
27673	Q18.0	"Sinus, fistula and cyst of branchial cleft"
27674	Q18.1	Preauricular sinus and cyst
27675	Q18.2	Other branchial cleft malformations
27676	Q18.3	Webbing of neck
27677	Q18.4	Macrostomia
27678	Q18.5	Microstomia
27679	Q18.6	Macrocheilia
27680	Q18.7	Microcheilia
27681	Q18.8	Other specified congenital malformations of face and neck
27682	Q18.9	"Congenital malformation of face and neck, unspecified"
27684	Q20.0	Common arterial trunk
27685	Q20.1	Double outlet right ventricle
27686	Q20.2	Double outlet left ventricle
27687	Q20.3	Discordant ventriculoarterial connection
27688	Q20.4	Double inlet ventricle
27689	Q20.5	Discordant atrioventricular connection
27690	Q20.6	Isomerism of atrial appendages
27691	Q20.8	Other congenital malformations of cardiac chambers and connections
27692	Q20.9	"Congenital malformation of cardiac chambers and connections, unspecified"
27694	Q21.0	Ventricular septal defect
27695	Q21.1	Atrial septal defect
27696	Q21.2	Atrioventricular septal defect
27697	Q21.3	Tetralogy of Fallot
27698	Q21.4	Aortopulmonary septal defect
27699	Q21.8	Other congenital malformations of cardiac septa
